source,parent,name,actor,verb,spend,action,mayOrCan
adversaries,Greater Water Elemental,High Tide - Reaction,the Elemental,makes a successful standard attack,mark a Stress,knock the target back to Close range,can
adversaries,Huge Green Ooze,Split - Reaction,the Ooze,has 4 or more HP marked,spend a Fear,split them into two Green Oozes (with no marked HP or Stress),can
adversaries,Stag Knight,Thorny Armor - Reaction,the Knight,takes damage from an attack within Melee range,mark a Stress,deal 1d10+5 physical damage to the attacker,can
adversaries,Vampire,Mistform - Reaction,the Vampire,takes physical damage,spend a Fear,take half damage,can
adversaries,Vault Guardian Turret,Concentrate Fire - Reaction,another adversary,deals damage to a target within Far range of the Turret,mark a Stress,add the Turret's standard attack damage to the damage roll,can
adversaries,Arch-Necromancer,"Not Today, My Dears - Reaction",the Necromancer,has marked 7 or more of their HP,spend a Fear,have them teleport away to a safe location to recover,can
adversaries,Oracle of Doom,Vengeful Fate - Reaction,the Oracle,marks HP from an attack within Very Close range,mark a Stress,knock the attacker back to Far range and deal 2d10+4 physical damage,can
adversaries,Perfected Zombie,Skilled Opportunist - Reaction,another adversary,deals damage to a target within Very Close range of the Zombie,spend a Fear,add the Zombie's standard attack damage to the damage roll,can
adversaries,Zombie Legion,Overwhelm - Reaction,the Legion,takes Minor damage from an attack within Melee range,mark a Stress,make a standard attack with advantage against the attacker,can
beastforms,Nimble Grazer,Elusive Prey,an attack roll against you,would succeed,mark a Stress and roll a d4. Add the result,your Evasion against this attack,can
beastforms,Pack Predator,Hobbling Strike,you,succeed on an attack against a target within Melee range,mark a Stress,make the target temporarily _Vulnerable_,can
beastforms,Powerful Beast,Rampage,you,roll a 1 on a damage die,roll a d10 and add the result,the damage roll,can
beastforms,Great Predator,Vicious Maul,you,succeed on an attack against a target,spend a Hope,make them temporarily _Vulnerable_ and gain a +1 bonus to your Proficiency for this attack,can
beastforms,Mighty Lizard,Snapping Strike,you,succeed on an attack against a target within Melee range,spend a Hope,"clamp that opponent in your jaws, making them temporarily _Restrained_ and _Vulnerable",can
beastforms,Aquatic Predator,Vicious Maul,you,succeed on an attack against a target,spend a Hope,make them _Vulnerable_ and gain a +1 bonus to your Proficiency for this attack,can
beastforms,Terrible Lizard,Devastating Strikes,you,deal Severe damage to a target within Melee range,mark a Stress,force them to mark an additional Hit Point,can
abilities,Cloaking Blast,Cloaking Blast,you,make a successful Spellcast Roll to cast a different spell,spend a Hope,become _Cloaked_,can
abilities,Arcane Reflection,Arcane Reflection,you,would take magic damage,spend any number of Hope,roll that many d6s,can
abilities,Get Back Up,Get Back Up,you,take Severe damage,mark a Stress,reduce the severity by one threshold,can
abilities,Whirlwind,Whirlwind,you,make a successful attack against a target within Very Close range,spend a Hope,use the attack against all other targets within Very Close range,can
abilities,Versatile Fighter,Versatile Fighter,you,deal damage,mark a Stress,use the maximum result of one of your damage dice instead of rolling it,can
abilities,Champion's Edge,Champion's Edge,you,critically succeed on an attack,spend up,3 Hope and choose one of the following options for each Hope spent: - You clear a Hit Point,can
abilities,Battle-Hardened,Battle-Hardened,you,would make a Death Move,spend a Hope,clear a Hit Point instead,can
abilities,Glancing Blow,Glancing Blow,you,fail an attack,mark a Stress,deal weapon damage using half your Proficiency,can
abilities,Battle Monster,Battle Monster,you,make a successful attack against an adversary,mark 4 Stress,force the target to mark a number of Hit Points equal to the number of Hit Points you currently have marked instead of rolling for damage,can
abilities,I See It Coming,I See It Coming,you're,targeted by an attack made from beyond Melee range,mark a Stress,roll a d4 and gain a bonus to your Evasion equal to the result against the attack,can
abilities,Ferocity,Ferocity,you,cause an adversary to mark 1 or more Hit Points,spend 2 Hope,increase your Evasion by the number of Hit Points they marked,can
abilities,Brace,Brace,you,mark an Armor Slot to reduce incoming damage,mark a Stress,mark an additional Armor Slot,can
abilities,Redirect,Redirect,an attack made against you from beyond Melee range,"fails, roll a number of d6s equal to your Proficiency. If any roll a 6",mark a Stress,redirect the attack to damage an adversary within Very Close range instead,can
abilities,Know Thy Enemy,Know Thy Enemy,observing,a creature,"make an Instinct Roll against them. On a success, spend a Hope and ask the GM for one set of information about the target from the following options: - Their unmarked Hit Points and Stress. - Their Difficulty and damage thresholds. - Their tactics and standard attack damage dice. - Their features and Experiences. Additionally on a success, you can mark a Stress",remove a Fear from the GM's Fear Pool,can
abilities,Rapid Riposte,Rapid Riposte,an,attack made against you from within Melee range fails,mark a Stress and seize the opportunity,deal the weapon damage of one of your active weapons to the attacker,can
abilities,Bone-Touched,Bone-Touched,4,"or more of the domain cards in your loadout are from the Bone domain, gain the following benefits: - +1 bonus to Agility - Once per rest",spend 3 Hope,cause an attack that succeeded against you to fail instead,can
abilities,Breaking Blow,Breaking Blow,you,make a successful attack,mark a Stress,make the next successful attack against that same target deal an extra 2d12 damage,can
abilities,Safe Haven,Safe Haven,you,have a few minutes of calm to focus,spend 2 Hope,"summon your Safe Haven, a large interdimensional home where you and your allies can take shelter",can
abilities,Inspirational Words,Inspirational Words,you,speak with an ally,spend a token from this card,give them one benefit from the following options: - Your ally clears a Stress,can
abilities,Never Upstaged,Never Upstaged,you,mark 1 or more Hit Points from an attack,mark a Stress,place a number of tokens equal to the number of Hit Points you marked on this card,can
abilities,Grace-Touched,Grace-Touched,you,would force a target to mark a number of Hit Points,choose instead,force them to mark that number of Stress,can
abilities,Encore,Encore,an ally within Close range,deals damage to an adversary,"make a Spellcast Roll against that same target. On a success, you deal the same damage",the target that your ally dealt,can
abilities,Notorious,Notorious,you,leverage your notoriety to get what you want,mark a Stress before you roll,gain a +10 bonus to the result,can
abilities,Uncanny Disguise,Uncanny Disguise,you,have a few minutes to prepare,mark a Stress,don the facade of any humanoid you can picture clearly in your mind,can
abilities,Chokehold,Chokehold,you,position yourself behind a creature who's about your size,mark a Stress,"pull them into a chokehold, making them temporarily _Vulnerable_",can
abilities,Stealth Expertise,Stealth Expertise,you,roll with Fear while attempting to move unnoticed through a dangerous area,mark a Stress,roll with Hope instead,can
abilities,Mass Disguise,Mass Disguise,you,have a few minutes of silence to focus,mark a Stress,change the appearance of all willing creatures within Close range,can
abilities,Midnight-Touched,Midnight-Touched,you,have 0 Hope and the GM would gain a Fear,"gain a Hope instead. - When you make a successful attack, you can mark a Stress",add the result of your Fear Die to your damage roll,can
abilities,Vanishing Dodge,Vanishing Dodge,an attack made against you that,would deal physical damage fails,spend a Hope,"envelop yourself in shadow, becoming _Hidden_ and teleporting to a point within Close range of the attacker",can
abilities,Spellcharge,Spellcharge,you,"take magic damage, place tokens equal to the number of Hit Points you marked on this card. You can store a number of tokens equal to your Spellcast trait. When you make a successful attack against a target",spend any number of tokens,add a d6 for each token spent to your damage roll,can
abilities,Gifted Tracker,Gifted Tracker,you're,tracking a specific creature or group of creatures based on signs of their passage,"spend any number of Hope and ask the GM that many questions from the following list. - What direction did they go? - How long ago did they pass through? - What were they doing in this location? - How many of them were here? When you encounter creatures you've tracked in this way, gain a +1 bonus",your Evasion against them,can
abilities,Nature's Tongue,Nature's Tongue,you,"want to speak to the plants and animals around you, make an Instinct Roll (12). On a success, they'll give you the information they know. On a roll with Fear, their knowledge might be limited or come at a cost. Additionally, before you make a Spellcast Roll while within a natural environment",spend a Hope,gain a +2 bonus to the roll,can
abilities,Thorn Skin,Thorn Skin,you,"do, place a number of tokens equal to your Spellcast trait on this card. When you take damage",spend any number of tokens,roll that number of d6s,can
abilities,Sage-Touched,Sage-Touched,4,"or more of the domain cards in your loadout are from the Sage domain, gain the following benefits: - While you're in a natural environment, you gain a +2 bonus to your Spellcast Rolls. - Once per rest",double your Agility or Instinct when making a roll that uses that trait. You must choose,do this before you roll,can
abilities,Fane of the Wilds,Fane of the Wilds,you,would make a Spellcast Roll,spend any number of tokens after the roll,gain a +1 bonus for each token spent,can
abilities,Mending Touch,Mending Touch,you,can take a few minutes to focus on the target you're helping,spend 2 Hope,clear a Hit Point or a Stress on them,can
abilities,Healing Strike,Healing Strike,you,deal damage to an adversary,spend 2 Hope,clear a Hit Point on an ally within Close range,can
abilities,Splendor-Touched,Splendor-Touched,4,"or more of the domain cards in your loadout are from the Splendor domain, gain the following benefits: - +3 bonus to your Severe damage threshold - Once per long rest, when incoming damage would require you to mark a number of Hit Points",choose,mark that much Stress or spend that much Hope instead,can
abilities,I Am Your Shield,I Am Your Shield,an ally within Very Close range,would take damage,mark a Stress,stand in the way and make yourself the target of the attack instead,can
abilities,Bold Presence,Bold Presence,you,make a Presence Roll,spend a Hope,add your Strength to the roll,can
abilities,Support Tank,Support Tank,an ally within Close range,fails a roll,spend 2 Hope,allow them to reroll either their Hope or Fear Die,can
abilities,Shrug It Off,Shrug It Off,you,would take damage,mark a Stress,reduce the severity of the damage by one threshold,can
abilities,Lead by Example,Lead by Example,you,deal damage to an adversary,mark a Stress and describe how you encourage your allies. The next PC,make an attack against that adversary can clear a Stress or gain a Hope,can
abilities,Unbreakable,Unbreakable,you,"mark your last Hit Point, instead of making a death move",roll a d6 and clear a number of Hit Points equal,the result,can
